,Highest,Open,Close
0,43584.9,42849.78,36690.09
0,42451.67,36671.23,40526.64
0,42200.0,40525.39,37252.01
0,38829.0,37263.35,37449.73
0,38270.64,37458.51,34655.25
0,39920.0,34681.44,38796.29
0,39791.77,38810.99,38324.72
0,40841.0,38324.72,39241.91
0,40411.14,39241.92,38529.98
0,38877.83,38529.99,35663.49
0,37338.58,35661.79,34605.15
0,36488.0,34605.15,35641.27
0,37499.0,35641.26,37253.81
0,37894.81,37253.82,36693.09
0,38225.0,36694.85,37568.68
0,39476.0,37568.68,39246.79
0,39289.07,39246.78,36829.0
0,37925.0,36829.15,35513.2
0,36480.0,35516.07,35796.31
0,36900.0,35796.31,33552.79
0,34068.01,33556.96,33380.81
0,37534.79,33380.8,37388.05
0,38491.0,37388.05,36675.72
0,37680.4,36677.83,37331.98
0,37463.63,37331.98,35546.11
0,39380.0,35546.12,39020.57
0,41064.05,39020.56,40516.29
0,41330.0,40516.28,40144.04
0,40527.14,40143.8,38349.01
0,39559.88,38349.0,38092.97
0,38202.84,38092.97,35819.84
0,36457.0,35820.48,35483.72
0,36137.72,35483.72,35600.16
0,35750.0,35600.17,31608.93
0,33298.78,31614.12,32509.56
0,34881.0,32509.56,33678.07
0,35298.0,33675.07,34663.09
0,35500.0,34663.08,31584.45
0,32730.0,31576.09,32283.65
0,34749.0,32283.65,34700.34
0,35297.71,34702.49,34494.89
0,36600.0,34494.89,35911.73
0,36100.0,35911.72,35045.0
0,35057.57,35045.0,33504.69
0,33977.04,33502.33,33786.55
0,34945.61,33786.54,34669.13
0,35967.85,34669.12,35286.51
0,35293.78,35288.13,33690.14
0,35118.88,33690.15,34220.01
0,35059.09,34220.02,33862.12
0,33929.64,33862.11,32875.71
0,34100.0,32875.71,33815.81
0,34262.0,33815.81,33502.87
0,34666.0,33502.87,34258.99
0,34678.43,34259.0,33086.63
0,33340.0,33086.94,32729.77
0,33114.03,32729.12,32820.02
0,33185.25,32820.03,31880.0
0,32249.18,31874.49,31383.87
0,31955.92,31383.86,31520.07
0,32435.0,31520.07,31778.56
0,31899.0,31778.57,30839.65
0,31063.07,30839.65,29790.35
0,32858.0,29790.34,32144.51
0,32591.35,32144.51,32287.83
0,33650.0,32287.58,33634.09
0,34500.0,33634.1,34258.14
0,35398.0,34261.51,35381.02
0,40550.0,35381.02,37237.6
0,39542.61,37241.33,39457.87
0,40900.0,39456.61,40019.56
0,40640.0,40019.57,40016.48
0,42316.71,40018.49,42206.37
0,42448.0,42206.36,41461.83
0,42599.0,41461.84,39845.44
0,40480.01,39850.27,39147.82
0,39780.0,39146.86,38207.05
0,39969.66,38207.04,39723.18
0,41350.0,39723.17,40862.46
0,43392.43,40862.46,42836.87
0,44700.0,42836.87,44572.54
0,45310.0,44572.54,43794.37
0,46454.15,43794.36,46253.4
0,46700.0,46248.87,45584.99
0,46743.47,45585.0,45511.0
0,46218.12,45510.67,44399.0
0,47886.0,44400.06,47800.0
0,48144.0,47799.99,47068.51
0,47372.27,47068.5,46973.82
0,48053.83,46973.82,45901.29
0,47160.0,45901.3,44695.95
0,46000.0,44695.95,44705.29
0,47033.0,44699.37,46760.62
0,49382.99,46760.62,49322.47
0,49757.04,49322.47,48821.87
0,49500.0,48821.88,49239.22
0,50500.0,49239.22,49488.85
0,49860.0,49488.85,47674.01
0,49264.3,47674.01,48973.32
0,49352.84,48973.32,46843.87
0,49149.93,46843.86,49069.9
0,49299.0,49069.9,48895.35
0,49632.27,48895.35,48767.83
0,48888.61,48767.84,46982.91
0,48246.11,46982.91,47100.89
0,49156.0,47100.89,48810.52
0,50450.13,48810.51,49246.64
0,51000.0,49246.63,49999.14
0,50535.69,49998.0,49915.64
0,51900.0,49917.54,51756.88
0,52780.0,51756.88,52663.9
